DominantHand, DominantGrip(N), NonDominantGrip(N)
    1.00,  293.24,  241.50
    1.00,  547.39,  552.01
    0.00,  578.85,  495.98
    1.00,  342.30,  342.18
    1.00,  337.79,  347.14
    0.00,  510.41,  493.16
    0.00,  188.86,  212.97
    0.00,  537.67,  497.41
    0.00,  235.56,  228.56
    1.00,  217.30,  218.23
    1.00,  499.54,  476.51
    1.00,  144.71,  119.53
    1.00,  595.77,  557.65
    1.00,  276.23,  307.36
    0.00,  526.72,  486.74
    1.00,  492.76,  460.21
    1.00,  225.07,  189.19
    1.00,  606.41,  479.68
    1.00,  413.74,  429.01
    1.00,  592.95,  548.28
    1.00,  491.92,  489.73
    1.00,  696.50,  693.10
    0.00,  357.33,  310.60
    1.00,  481.59,  446.97
    1.00,  328.03,  332.02
    1.00,  693.90,  659.35
    0.00,  579.39,  574.94
    1.00,  714.15,  663.43
    0.00,  463.43,  413.14
    1.00,  483.69,  457.89
    0.00,  306.39,  309.36
    1.00,  472.35,  449.19
    1.00,  353.70,  375.11
    1.00,  566.61,  567.61
    1.00,  287.82,  203.53
    0.00,  174.78,  163.08
    1.00,  610.28,  574.37
    1.00,  646.00,  600.38
    1.00,  363.48,  319.44
    0.00,  394.29,  411.92
    1.00,  537.72,  545.30
    1.00,  336.87,  305.83
    1.00,  574.01,  573.74
    1.00,  243.02,  206.87
    1.00,  642.99,  601.51
    1.00,  567.67,  533.75
    0.00,  531.08,  447.26
    0.00,  421.76,  382.60
    1.00,  408.72,  390.20
    1.00,  425.02,  385.68
    1.00,  230.32,  235.80
    1.00,  516.66,  508.58
    1.00,  350.43,  343.06
    1.00,  631.54,  633.54
    1.00,  309.56,  323.55
    1.00,  348.58,  359.73
    1.00,  543.32,  473.15
    1.00,  449.24,  340.06
    1.00,  174.34,  152.16
    1.00,  378.29,  364.43
    1.00,  350.32,  349.66
    1.00,  351.53,  310.18
    1.00,  424.02,  436.72
    1.00,  315.77,  293.76
    1.00,  717.46,  677.47
    1.00,  594.35,  559.93
    1.00,  469.07,  451.23
    1.00,  201.11,  166.52
    0.00,  479.94,  429.49
    1.00,  423.94,  374.45
    1.00,  490.32,  467.66
    1.00,  399.99,  365.38
    1.00,  580.72,  519.63
    1.00,  546.57,  491.50
    0.00,  663.30,  612.43
    1.00,  273.38,  284.67
    1.00,  535.92,  486.28
    1.00,  582.65,  558.00
    1.00,  522.63,  475.24
    1.00,  335.67,  305.39
    1.00,  362.91,  336.60
    1.00,  659.39,  623.32
    1.00,  292.84,  254.46
    1.00,  550.36,  517.24
